PLANT,SAMPLE_POINT,SAMPLE_POINT_NAME,SAMPLING_DATE,ITEM_NAME,UNIT_NAME,CHAR_RESULT,FINISH_DATE
BTX,SC201,BTX RAFFINATE (EDC FEED),20240530070000,o-Xylene,wt %,0.0005,20240530142107
BTX,SC201,BTX RAFFINATE (EDC FEED),20240530070000,p&m-Xylene,wt %,0.0245,20240530142107
BTX,SC201,BTX RAFFINATE (EDC FEED),20240530070000,Ethylbenzene,wt %,0.2296,20240530142107
BTX,SC201,BTX RAFFINATE (EDC FEED),20240530070000,N-Aro8,wt %,0.2621,20240530142107
BTX,SC201,BTX RAFFINATE (EDC FEED),20240620070000,N-Aro8,wt %,0.2382,20240620132901
BTX,SC201,BTX RAFFINATE (EDC FEED),20240620070000,o-Xylene,wt %,0.0000,20240620132901
BTX,SC201,BTX RAFFINATE (EDC FEED),20240620070000,p&m-Xylene,wt %,0.0032,20240620132901
BTX,SC201,BTX RAFFINATE (EDC FEED),20240620070000,Ethylbenzene,wt %,0.0413,20240620132901
BTX,SC201,BTX RAFFINATE (EDC FEED),20240523070000,o-Xylene,wt %,0.0000,20240523130717
BTX,SC201,BTX RAFFINATE (EDC FEED),20240523070000,p&m-Xylene,wt %,0.0038,20240523130717
BTX,SC201,BTX RAFFINATE (EDC FEED),20240523070000,Ethylbenzene,wt %,0.0475,20240523130717
BTX,SC201,BTX RAFFINATE (EDC FEED),20240523070000,N-Aro8,wt %,0.2824,20240523130717
BTX,SC201,BTX RAFFINATE (EDC FEED),20240502070000,o-Xylene,wt %,0.0000,20240502130617
BTX,SC201,BTX RAFFINATE (EDC FEED),20240502070000,p&m-Xylene,wt %,0.0000,20240502130617
BTX,SC201,BTX RAFFINATE (EDC FEED),20240502070000,Ethylbenzene,wt %,0.0181,20240502130617
BTX,SC201,BTX RAFFINATE (EDC FEED),20240502070000,N-Aro8,wt %,0.2150,20240502130617
BTX,SC201,BTX RAFFINATE (EDC FEED),20240516070000,o-Xylene,wt %,0.0002,20240516132328
BTX,SC201,BTX RAFFINATE (EDC FEED),20240516070000,p&m-Xylene,wt %,0.0126,20240516132328
BTX,SC201,BTX RAFFINATE (EDC FEED),20240516070000,N-Aro8,wt %,0.2551,20240516132328
BTX,SC201,BTX RAFFINATE (EDC FEED),20240516070000,Ethylbenzene,wt %,0.1417,20240516132328
BTX,SC201,BTX RAFFINATE (EDC FEED),20240613070000,o-Xylene,wt %,0.0000,20240613135812
BTX,SC201,BTX RAFFINATE (EDC FEED),20240613070000,p&m-Xylene,wt %,0.0017,20240613135812
BTX,SC201,BTX RAFFINATE (EDC FEED),20240613070000,Ethylbenzene,wt %,0.0238,20240613135812
BTX,SC201,BTX RAFFINATE (EDC FEED),20240613070000,N-Aro8,wt %,0.2244,20240613135812
BTX,SC201,BTX RAFFINATE (EDC FEED),20240509070000,N-Aro8,wt %,0.2667,20240509134223
BTX,SC201,BTX RAFFINATE (EDC FEED),20240509070000,o-Xylene,wt %,0.0001,20240509134223
BTX,SC201,BTX RAFFINATE (EDC FEED),20240509070000,p&m-Xylene,wt %,0.0045,20240509134223
BTX,SC201,BTX RAFFINATE (EDC FEED),20240509070000,Ethylbenzene,wt %,0.0580,20240509134223
BTX,SC201,BTX RAFFINATE (EDC FEED),20240627070000,p&m-Xylene,wt %,0.0000,20240627110136
BTX,SC201,BTX RAFFINATE (EDC FEED),20240627070000,N-Aro8,wt %,0.2380,20240627110136
BTX,SC201,BTX RAFFINATE (EDC FEED),20240627070000,o-Xylene,wt %,0.0000,20240627110136
BTX,SC201,BTX RAFFINATE (EDC FEED),20240627070000,Ethylbenzene,wt %,0.0058,20240627110136
