PLANT_CODE,PLANT_DESC,UNIT_CODE,UNIT_DESC,EQP_CODE,EQP_TYPE,EQP_DESC,SUB_EQP_CODE,SUB_EQP_TYPE,SUB_EQP_DESC,OPER_CODE,OPER_TYPE,DATA_TYPE,OPER_DESC
D2,EVA,1800,EVA HOT WATER HANDLING UNIT,D2-FA1801,Pump,MP HOT WATER CIRCULATION PUMP,,,,D2TI18035,Temp,OIS,D2FA1801 HWL Temperature
D2,EVA,1800,EVA HOT WATER HANDLING UNIT,D2-FA1801,Pump,MP HOT WATER CIRCULATION PUMP,,,,D2PIC18017,Press,OIS,D2FA1801 HWL Pressure
D2,EVA,1800,EVA HOT WATER HANDLING UNIT,D2-FA1801,Pump,MP HOT WATER CIRCULATION PUMP,,,,D2PIC18017SV,Press,OIS,D2FA1801 HWL Pressure
D2,EVA,1800,EVA HOT WATER HANDLING UNIT,D2-FA1801,Pump,MP HOT WATER CIRCULATION PUMP,,,,D2PIC18017MV,Press,OIS,D2FA1801 HWL Pressure
D2,EVA,1800,EVA HOT WATER HANDLING UNIT,D2-GA1801,Pump,MP HOT WATER CIRCULATION PUMP,,,,D2PI18016,Press,OIS,D2GA1801 Suction Pressure
D2,EVA,1800,EVA HOT WATER HANDLING UNIT,D2-GA1801,Pump,MP HOT WATER CIRCULATION PUMP,,,,D2PI18013,Press,OIS,D2GA1801 Discharge Pressure
D2,EVA,1800,EVA HOT WATER HANDLING UNIT,D2-GA1801,Pump,MP HOT WATER CIRCULATION PUMP,,,,D2PDI18015,Press,OIS,D2GA1801 Suction/Discharge Delta Pressure
D2,EVA,1800,EVA HOT WATER HANDLING UNIT,D2-GA1801,Pump,MP HOT WATER CIRCULATION PUMP,,,,D2II1801,Ampere,OIS,D2GA1801 Ampere
D2,EVA,1800,EVA HOT WATER HANDLING UNIT,D2-GAM1801,Pump,MP HOT WATER CIRCULATION PUMP,,,,D2TI18115A,Temp,OIS,D2GAM1801 Winding Temperature
D2,EVA,1800,EVA HOT WATER HANDLING UNIT,D2-GAM1801,Pump,MP HOT WATER CIRCULATION PUMP,,,,D2TI18115B,Temp,OIS,D2GAM1801 Winding Temperature
D2,EVA,1800,EVA HOT WATER HANDLING UNIT,D2-GAM1801,Pump,MP HOT WATER CIRCULATION PUMP,,,,D2TI18115C,Temp,OIS,D2GAM1801 Winding Temperature
D2,EVA,1800,EVA HOT WATER HANDLING UNIT,D2-GAM1801,Pump,MP HOT WATER CIRCULATION PUMP,,,,D2TI18116,Temp,OIS,D2GAM1801 Bearing Temperature
D2,EVA,1800,EVA HOT WATER HANDLING UNIT,D2-GAM1801,Pump,MP HOT WATER CIRCULATION PUMP,,,,D2TI18117,Temp,OIS,D2GAM1801 Bearing Temperature
D2,EVA,1800,EVA HOT WATER HANDLING UNIT,D2-GA1801,Pump,MP HOT WATER CIRCULATION PUMP,,,,D2TI18118,Temp,OIS,D2GA1801 Bearing Temperature
D2,EVA,1800,EVA HOT WATER HANDLING UNIT,D2-GA1801,Pump,MP HOT WATER CIRCULATION PUMP,,,,D2TI18119,Temp,OIS,D2GA1801 Bearing Temperature
D2,EVA,1800,EVA HOT WATER HANDLING UNIT,D2-GA1801,Pump,MP HOT WATER CIRCULATION PUMP,,,,D2SI1801,RPM,OIS,D2GA1801 RPM
D2,EVA,1800,EVA HOT WATER HANDLING UNIT,D2-GA1801,Pump,MP HOT WATER CIRCULATION PUMP,,,,D2TI18041,Temp,OIS,D2GA1801 Cooling Water Temperature
D2,EVA,1800,EVA HOT WATER HANDLING UNIT,D2-GA1801,Pump,MP HOT WATER CIRCULATION PUMP,,,,D2FI18028,Flow,OIS,D2GA1801 Cooling Water Flow
D2,EVA,1800,EVA HOT WATER HANDLING UNIT,D2-GA1801,Pump,MP HOT WATER CIRCULATION PUMP,,,,D2FI18071,Flow,OIS,D2GA1801 HWL Total Flow
D2,EVA,1800,EVA HOT WATER HANDLING UNIT,D2-FA1802,Pump,MP HOT WATER CIRCULATION PUMP,,,,D2TI18038,Temp,OIS,D2FA1802 HWM Temperature
D2,EVA,1800,EVA HOT WATER HANDLING UNIT,D2-FA1802,Pump,MP HOT WATER CIRCULATION PUMP,,,,D2PIC18025,Press,OIS,D2FA1802 HWM Pressure
D2,EVA,1800,EVA HOT WATER HANDLING UNIT,D2-FA1802,Pump,MP HOT WATER CIRCULATION PUMP,,,,D2PIC18025SV,Press,OIS,D2FA1802 HWM Pressure
D2,EVA,1800,EVA HOT WATER HANDLING UNIT,D2-FA1802,Pump,MP HOT WATER CIRCULATION PUMP,,,,D2PIC18025MV,Press,OIS,D2FA1802 HWM Pressure
D2,EVA,1800,EVA HOT WATER HANDLING UNIT,D2-GA1802,Pump,MP HOT WATER CIRCULATION PUMP,,,,D2PI18075,Press,OIS,D2GA1802 Suction Pressure
D2,EVA,1800,EVA HOT WATER HANDLING UNIT,D2-GA1802,Pump,MP HOT WATER CIRCULATION PUMP,,,,D2PI18011,Press,OIS,D2GA1802 Discharge Pressure
D2,EVA,1800,EVA HOT WATER HANDLING UNIT,D2-GA1802,Pump,MP HOT WATER CIRCULATION PUMP,,,,D2PDI18076,Press,OIS,D2GA1802 Suction/Discharge Delta Pressure
D2,EVA,1800,EVA HOT WATER HANDLING UNIT,D2-GA1802,Pump,MP HOT WATER CIRCULATION PUMP,,,,D2II1802,Ampere,OIS,D2GA1802 Ampere
D2,EVA,1800,EVA HOT WATER HANDLING UNIT,D2-GAM1802,Pump,MP HOT WATER CIRCULATION PUMP,,,,D2TI18125A,Temp,OIS,D2GAM1802 Winding Temperature
D2,EVA,1800,EVA HOT WATER HANDLING UNIT,D2-GAM1802,Pump,MP HOT WATER CIRCULATION PUMP,,,,D2TI18125B,Temp,OIS,D2GAM1802 Winding Temperature
D2,EVA,1800,EVA HOT WATER HANDLING UNIT,D2-GAM1802,Pump,MP HOT WATER CIRCULATION PUMP,,,,D2TI18125C,Temp,OIS,D2GAM1802 Winding Temperature
D2,EVA,1800,EVA HOT WATER HANDLING UNIT,D2-GAM1802,Pump,MP HOT WATER CIRCULATION PUMP,,,,D2TI18126,Temp,OIS,D2GAM1802 Bearing Temperature
D2,EVA,1800,EVA HOT WATER HANDLING UNIT,D2-GAM1802,Pump,MP HOT WATER CIRCULATION PUMP,,,,D2TI18127,Temp,OIS,D2GAM1802 Bearing Temperature
D2,EVA,1800,EVA HOT WATER HANDLING UNIT,D2-GA1802,Pump,MP HOT WATER CIRCULATION PUMP,,,,D2TI18047,Temp,OIS,D2GA1802 Cooling Water Temperature
D2,EVA,1800,EVA HOT WATER HANDLING UNIT,D2-GA1802,Pump,MP HOT WATER CIRCULATION PUMP,,,,D2FI18029,Flow,OIS,D2GA1802 Cooling Water Flow
