GRADE,생산성,기초,생산,내수,수출,판매,이동,자가,기말,01,02,03,04,05,06,07,08,09,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
BI710/SN,"1,103",152,301,0,144,144,171,0,138,0,0,0,0,0,0,0,0,301,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BI750/SN,"1,080","1,119","1,000",65,"1,606","1,671",0,40,408,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,533,467,0,0,0,0,0,0
BI850/SN,"1,103",990,"2,003",522,"1,508","2,030",0,185,778,0,0,0,0,0,0,0,0,0,0,0,120,"1,036",33,0,0,0,0,0,623,191,0,0,0,0,0,0,0,0,0,0
BI870/SN,"1,007",231,599,0,220,220,110,0,500,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,295,304,0,0,0,0,0,0,0,0,0,0,0,0
BI871/SN,"1,007","1,545","1,254",0,"1,693","1,693",0,486,620,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,624,630,0,0,0,0,0,0,0,0,0,0,0,0,0
BI873/SN,"1,007",163,592,0,150,150,0,0,605,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,592,0,0,0,0,0,0,0,0,0,0,0,0
BI961/SN,"1,080",380,"1,041",19,951,970,0,88,363,0,0,0,0,0,0,0,0,0,0,0,0,0,719,0,0,0,0,30,292,0,0,0,0,0,0,0,0,0,0,0
BI980/SN,"1,007",249,852,0,217,217,352,0,532,0,0,0,0,0,0,0,0,0,0,0,0,0,208,644,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BI991/SN,"1,007",189,302,0,0,0,0,102,389,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,302,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BI995/SN,"1,007",372,304,90,158,248,0,143,285,0,0,0,0,0,0,0,0,0,0,0,0,0,0,284,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BI997/SN,"1,007",630,745,14,918,932,0,158,285,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,745,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BJ350/SN,"1,007",444,"1,569",145,"1,347","1,492",308,1,212,0,0,0,0,0,450,428,-109,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,778,0,0,0,0,0
BJ355/SN,"1,103",425,208,0,0,0,0,0,633,0,0,0,0,0,0,108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0
BJ520/SN,"1,103",421,"1,814",806,0,806,0,0,"1,429",0,0,0,0,0,0,532,"1,121",161,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
BJ550/SN,"1,127",923,600,107,847,955,0,140,428,72,-72,0,0,0,0,0,0,300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,300,0,0,0,0,0,0
BJ600/SN,"1,127",419,155,275,98,373,0,0,201,0,0,0,0,0,0,0,0,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0
BJ701/SN,"1,127",93,100,0,0,0,0,46,147,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0
BJ750/SN,"1,127","1,083","6,805","3,602","2,997","6,600",0,220,"1,068",0,0,0,0,0,0,0,0,294,"1,097","1,113",984,0,0,0,0,0,0,0,0,870,"1,032","1,057",358,0,0,0,0,0,0,0
BU510/SN,"1,007",458,301,17,"1,272","1,289",0,12,-542,301,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HF409/SN,"1,031",131,360,126,0,126,0,0,365,0,0,0,0,0,360,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HF429/SN,"1,031",0,606,0,0,0,0,0,606,0,0,0,0,385,221,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HJ500/SN,"1,007","1,448",613,429,"1,180","1,609",0,163,289,202,0,0,0,211,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,191,0,0,0,0
HJ730/SN,"1,031","1,021","7,444",2,"4,713","4,715",0,123,"3,627",416,"1,011","1,033","1,042",422,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,733,929,929,929,0
PPOG/S,"1,076",988,517,126,254,380,0,0,"1,125",3,72,0,0,0,4,0,109,0,0,0,0,0,0,0,110,0,0,0,99,0,0,0,0,0,120,0,0,0,0,0
Total,25319,13874,30085,6345,20273,26620,941,1907,14491,994,1011,1033,1042,1018,1035,1068,1121,1111,1097,1113,1104,1036,960,928,875,926,925,926,1014,1061,1032,1057,991,989,907,924,929,929,929,0
